Designator,Mid X,Mid Y,Rotation,Layer
C1,120.8675,-82.65,90.0,top
C13,128.28,-86.325,90.0,top
C14,137.88,-77.335,270.0,top
C15,135.57,-77.335,270.0,top
C16,122.3375,-81.88,270.0,top
C19,159.12,-68.83,-90.0,top
C2,122.34,-78.92,90.0,top
C3,131.85,-78.81,90.0,top
C4,138.18,-62.505,270.0,top
C5,129.97,-79.105,90.0,top
C6,126.045,-85.58,180.0,top
D1,171.05,-69.36,90.0,top
D2,119.41,-82.65,90.0,top
J1,180.1905,-69.245,270.0,top
J3,170.12,-83.7175,0.0,top
J4,110.2265,-69.2496,270.0,top
L1,127.78,-71.22,0.0,top
R1,133.57,-84.2,0.0,top
R2,126.045,-87.04,180.0,top
R3,117.95,-82.65,90.0,top
R4,123.08,-87.04,180.0,top
R6,130.0,-83.33,90.0,top
U1,126.44,-80.1,270.0,top
