Designator,Footprint,Quantity,Value,LCSC Part #
C21,0603,1,1uF,C15849
C22,0603,1,470nF,C1623
"C23, C24, C28, C29",1206,4,10uF,C89632
"C25, C27",0603,2,100nF,C14663
C26,0603,1,5.1pF,C61816
C30,0603,1,2.2uF,C23630
C39,CP_Elec_16x17.5,1,1mF,C2164559
D3,D_SMC,1,SMCJ40CA,C80273
D4,0603,1,GREEN,C12065
J21,KPJX4S,1,KPJX-4S,C7212564
J22,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Motor Power,C8465
J23,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,12V ESP CAN,C466970
L2,L_Wurth_WE-PD-1050P,1,22uH,C2651173
"R21, R22",0603,2,100k,C25803
R23,0603,1,10k,C25804
R24,0603,1,9.1k,C23260
R26,0603,1,100,C22775
U2,Texas_RNP0030B_WQFN-30-1EP_4x6mm_P0.5mm_EP1.8x4.5mm_ThermalVias,1,LM76003,C470958
